Listing,Price,Date posted,Distance from zip
DIE CAST CARS & TRUCKS ,1,Oct 31,0.0
2017 Grand Cherokee Lease Takeover ,289,Oct 31,0.0
1999 F-150 Ford 4X4 ,3200,Oct 28,0.0
2000 Dodge Ram Pickup ,2500,Oct 24,0.0
GMC ENVOY ,2500,Oct 22,0.0
2000 Dodge Ram Pickup ,2500,Oct 19,0.0
2007 Kia Rondo ,4000,Oct 18,0.0
2002 Ford Excursion Limited V-8 ,2400,Oct 18,0.0
2003 Chevy Silverado 1500 ,4500,Oct 16,0.0
2004 Subaru Impreza Outback Sport ,3150,Oct 22,3.1
2005 KIA SEDONA 7 PASSENGER ONLY 105K!!!! CLEAN TITTLE!!! SUNROOF!!! ,2600,Oct 31,4.1
2008 NISSAN ALTIMA ONLY 145K!!! CLEAN TITLE!! PUSH TO START!! CLEAN ,2900,Oct 31,4.1
ONE OWNER 2008 NISSAN ROGUE SL AWD ONLY 134K!!!SUNROOF GOOD TIRES ,3900,Oct 31,4.1
2009 CHEVY COBALT ONLY 81K!!! CLEAN TITLE!! COUPE!!! GOOD TIRES!! ,2900,Oct 31,4.1
2005 GMC CANYON SL Z71 EXT CAB ONLY 101K!!! CLEAN TITLE!!! 4WD ,3800,Oct 31,4.1
TOYOTA COROLLA S...1 OWNER..RARE COLOR.. ,4600,Oct 28,4.1
owner of a new car losing license ,0,Oct 26,4.1
2010 Ford Focus 130k miles ,3400,Oct 22,4.1
"03 FORD EXPLORER XLT,4X4, 160K ",1500,Oct 21,4.1
1977 Dodge M880 military truck W 200 ,3800,Oct 31,4.2
2002 Chevrolet Chevy TrailBlazer LS 4WD 4dr SUV - Call/Text 609-542-1109 ,3500,Oct 17,4.2
16 & 10 FOOT BOX TRUCKS ,3999,Oct 17,4.2
2003 Nissan Murano SL ,4999,Oct 26,4.3
2013 Chevy spark ,4999,Oct 26,4.4
2002 mercury gran marquis ,3999,Oct 26,4.4
Work Van For Sale ,4500,Oct 27,4.9
JUNK CARS WANTED ,1,Oct 31,5.3
2004 Honda Pilot EXL ,2500,Oct 21,5.3
2005 Toyota 4Runner ,5000,Oct 21,6.3
2008 Cadillac ,4600,Oct 30,6.7
97 Honda Odyssey ,2400,Oct 28,6.7
Freightliner Truck ,5000,Oct 23,6.7
2500 Silverado pick up ,1,Oct 17,6.7
2003 Toyota Avalon XLS ,750,Oct 15,6.7
2008 Nissan Altima for sale *parting out* ,550,Oct 19,7.2
sebring convertible ,2600,Oct 30,7.6
In 2010 Volkswagen minivan ,5000,Oct 27,7.6
sebring convertible ,2600,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
2019 Ford Transit 150 Wheelchair Van Standard Length ,0,Oct 22,7.6
